Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR6444072_1	SRR6444072_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18975.0	4.7 Mbp	0.0	248-251	50.0	2.9934123847167324	249.8667720685112	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444072_2	SRR6444072_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18975.0	4.7 Mbp	0.0	248-251	51.0	8.843214756258234	250.98266139657443	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444079_1	SRR6444079_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17166.0	4.2 Mbp	0.0	248-251	51.0	2.4758243038564607	250.00728183618781	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444079_2	SRR6444079_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17166.0	4.3 Mbp	0.0	249-251	51.0	7.270185249912618	250.9903297215426	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444103_1	SRR6444103_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20691.0	5.1 Mbp	0.0	248-251	50.0	3.5039389106374754	250.02629162437776	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444103_2	SRR6444103_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20691.0	5.1 Mbp	0.0	248-251	50.0	8.375622251220337	250.98714416896235	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444123_1	SRR6444123_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18020.0	4.5 Mbp	0.0	248-251	50.0	3.9900110987791346	250.02730299667036	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444123_2	SRR6444123_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18020.0	4.5 Mbp	0.0	248-251	51.0	8.762486126526083	250.9834628190899	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444127_1	SRR6444127_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18284.0	4.5 Mbp	0.0	248-251	50.0	2.8604244147888864	250.00158608619557	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444127_2	SRR6444127_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18284.0	4.5 Mbp	0.0	249-251	50.0	7.892146138700504	250.98807700721943	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444141_1	SRR6444141_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22306.0	5.5 Mbp	0.0	248-251	52.0	4.276876176813413	249.98067784452613	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444141_2	SRR6444141_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22306.0	5.5 Mbp	0.0	248-251	52.0	8.06957769210078	250.98991302788488	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
