Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
Fungus_70_1	(1.0, 0.9740407519230477)	(2.0, 0.4946063631260336)	(3.0, 0.33226623780552567)	(4.0, 0.2973706968487809)	(5.0, 0.19723566627725267)	(6.0, 0.2548891687275265)	(7.0, 0.12744458436376324)	(8.0, 0.12137579463215548)	(9.0, 0.1638573227534099)	('>10', 4.164706953315835)	('>50', 2.392620351686365)	('>100', 5.786591009088013)	('>500', 0.0)	('>1k', 9.18814765365417)	('>5k', 0.0)	('>10k+', 75.50484744579812)
Fungus_70_2	(1.0, 0.91335285460697)	(2.0, 0.47943438879701417)	(3.0, 0.30040509171458485)	(4.0, 0.30950827631199646)	(5.0, 0.17447770478372351)	(6.0, 0.1638573227534099)	(7.0, 0.10620382030313606)	(8.0, 0.14565095355858657)	(9.0, 0.1365477689611749)	('>10', 5.2358483409446075)	('>50', 1.7614662195991564)	('>100', 2.605027992292637)	('>500', 0.9027324725766565)	('>1k', 6.326713295201104)	('>5k', 0.0)	('>10k+', 80.43877349759524)
Fungus_71_1	(1.0, 1.5783954818889236)	(2.0, 0.9418863481668168)	(3.0, 0.6125940506631836)	(4.0, 0.6181129159844736)	(5.0, 0.4691035523096451)	(6.0, 0.4194337644180357)	(7.0, 0.36056586765760956)	(8.0, 0.27962250961202373)	(9.0, 0.21523574753030777)	('>10', 5.754336908331647)	('>50', 3.062970253315918)	('>100', 6.893062786291139)	('>500', 6.076270718740227)	('>1k', 8.55424124799941)	('>5k', 15.040747622288858)	('>10k+', 49.12342022480178)
Fungus_71_2	(1.0, 1.9628764326054562)	(2.0, 1.1847164223035744)	(3.0, 0.871980720763811)	(4.0, 0.6181129159844736)	(5.0, 0.4691035523096451)	(6.0, 0.44150922570319545)	(7.0, 0.36056586765760956)	(8.0, 0.38264132894276937)	(9.0, 0.2317923434941776)	('>10', 3.86320572490296)	('>50', 0.8572637465737044)	('>100', 6.582166706525139)	('>500', 1.6519803528394563)	('>1k', 19.78145293327692)	('>5k', 22.81314961643886)	('>10k+', 37.92748210967825)
Fungus_72_1	(1.0, 2.30718398942698)	(2.0, 1.5481922023978099)	(3.0, 1.2914188615123194)	(4.0, 1.0195412064570943)	(5.0, 0.6985745303502312)	(6.0, 0.713678844519966)	(7.0, 0.4890021712451619)	(8.0, 0.392712168413103)	(9.0, 0.4587935429056924)	('>10', 6.492967053714717)	('>50', 2.2637590861889927)	('>100', 17.396393844991977)	('>500', 6.357028226187104)	('>1k', 19.901821957896722)	('>5k', 17.539884829604453)	('>10k+', 21.129047484187673)
Fungus_72_2	(1.0, 2.7055602756537334)	(2.0, 1.5368639667705088)	(3.0, 1.1384876805437554)	(4.0, 0.8609459076748797)	(5.0, 0.6136127631454734)	(6.0, 0.3738317757009346)	(7.0, 0.356839422259983)	(8.0, 0.21146039837628625)	(9.0, 0.1869158878504673)	('>10', 3.4343434343434343)	('>50', 1.8125177003681676)	('>100', 15.378079864061172)	('>500', 11.299915038232795)	('>1k', 28.747285943547624)	('>5k', 11.415085433777023)	('>10k+', 19.92825450769376)
Fungus_76_1	(1.0, 2.428370759491235)	(2.0, 1.858800438723085)	(3.0, 1.3565779599376553)	(4.0, 0.9082337547384017)	(5.0, 0.8177952240758913)	(6.0, 0.5195404952952721)	(7.0, 0.45796532548249924)	(8.0, 0.4156323962362178)	(9.0, 0.3636783467066905)	('>10', 5.591795108622448)	('>50', 2.8343820354442073)	('>100', 10.462006196001463)	('>500', 10.388885681848794)	('>1k', 43.78571840905155)	('>5k', 17.81061786834459)	('>10k+', 0.0)
Fungus_76_2	(1.0, 3.117242971771633)	(2.0, 1.9242240566491562)	(3.0, 1.5239854528661316)	(4.0, 1.008293405684158)	(5.0, 0.750447382093171)	(6.0, 0.4271777405761127)	(7.0, 0.3636783467066905)	(8.0, 0.2924820566106717)	(9.0, 0.2078161981181089)	('>10', 2.3571744693952166)	('>50', 1.970405434008736)	('>100', 11.849371740845505)	('>500', 11.941734495564663)	('>1k', 62.26596624911005)	('>5k', 0.0)	('>10k+', 0.0)
Fungus_79_1	(1.0, 2.0168010639551524)	(2.0, 1.3501456204441002)	(3.0, 1.2323024864901264)	(4.0, 0.8080672042558206)	(5.0, 0.8417366710998131)	(6.0, 0.5151428427130856)	(7.0, 0.4831568492112927)	(8.0, 0.48484032255349235)	(9.0, 0.4090840221545091)	('>10', 6.727159475429706)	('>50', 3.900607733876534)	('>100', 11.235501085840307)	('>500', 7.134560024242016)	('>1k', 16.602414100772712)	('>5k', 29.332839514486288)	('>10k+', 16.925640982475045)
Fungus_79_2	(1.0, 2.526893486641639)	(2.0, 1.5824649416676488)	(3.0, 1.1666470261443411)	(4.0, 0.7609299506742311)	(5.0, 0.5976330364808673)	(6.0, 0.5050420026598879)	(7.0, 0.3535294018619215)	(8.0, 0.4983081092910894)	(9.0, 0.24242016127674618)	('>10', 4.536960657227993)	('>50', 3.311392064106665)	('>100', 11.109240585175334)	('>500', 3.193548930152691)	('>1k', 27.743640679449843)	('>5k', 24.065251426743657)	('>10k+', 17.80609754044545)
