Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR6444272_2	SRR6444272_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22332.0	5.5 Mbp	0.0	229-251	51.0	12.448504388321691	250.12296256492925	250	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444273_1	SRR6444273_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42594.0	10.6 Mbp	0.0	248-251	49.0	2.5637413720242286	250.99551580034748	251	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444273_2	SRR6444273_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42594.0	10.6 Mbp	0.0	245-251	50.0	8.163121566417805	250.0964455087571	250	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444274_1	SRR6444274_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19402.0	4.8 Mbp	0.0	248-251	50.0	3.283166683847026	250.99113493454283	251	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444274_2	SRR6444274_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19402.0	4.8 Mbp	0.0	245-251	50.0	8.792907947634264	250.14349036181838	250	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444275_1	SRR6444275_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29467.0	7.3 Mbp	0.0	248-251	51.0	5.032748498320155	250.9923982760376	251	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444275_2	SRR6444275_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29467.0	7.3 Mbp	0.0	247-251	52.0	12.166151966606712	250.1380866732277	250	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444276_1	SRR6444276_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28078.0	7 Mbp	0.0	111-251	49.0	3.5080846214117813	250.99348244176934	251	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444276_2	SRR6444276_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28078.0	7 Mbp	0.0	245-251	49.0	11.767219887456372	250.0807749839732	250	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444277_1	SRR6444277_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35453.0	8.8 Mbp	0.0	248-251	51.0	4.377626717062025	250.98899952049192	251	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444277_2	SRR6444277_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35453.0	8.8 Mbp	0.0	247-251	52.0	10.616873043183933	250.7934730488252	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444278_1	SRR6444278_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44659.0	11.2 Mbp	0.0	248-251	51.0	3.390134127499496	250.9874605342708	251	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444278_2	SRR6444278_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44659.0	11.1 Mbp	0.0	246-251	52.0	9.135896459840122	250.2437134732081	250	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444279_1	SRR6444279_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34778.0	8.6 Mbp	0.0	170-251	51.0	2.766116510437633	249.92869055149808	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444279_2	SRR6444279_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34778.0	8.7 Mbp	0.0	248-251	51.0	5.753637356949795	250.98984990511244	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444280_1	SRR6444280_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	97260.0	24.4 Mbp	0.0	248-251	51.0	3.146206045650833	250.99395434916718	251	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444280_2	SRR6444280_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	97260.0	24.3 Mbp	0.0	235-251	52.0	8.916306806498046	250.12944684351223	250	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444281_1	SRR6444281_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	96375.0	24.1 Mbp	0.0	248-251	50.0	2.423865110246433	250.99343190661477	251	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444281_2	SRR6444281_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	96375.0	24.1 Mbp	0.0	240-251	50.0	8.526070038910506	250.11208300907913	250	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444282_1	SRR6444282_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31612.0	7.9 Mbp	0.0	248-251	52.0	4.548905478932051	250.99509679868405	251	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444282_2	SRR6444282_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31612.0	7.9 Mbp	0.0	245-251	53.0	12.890674427432621	250.1288118436037	250	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444283_1	SRR6444283_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	60507.0	15.1 Mbp	0.0	248-251	49.0	2.0526550647032575	250.99252978994167	251	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444283_2	SRR6444283_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	60507.0	15.1 Mbp	0.0	140-251	49.0	8.559340241624936	250.96544201497346	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444284_1	SRR6444284_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34346.0	8.6 Mbp	0.0	248-251	52.0	2.550515343853724	250.99499213882257	251	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444284_2	SRR6444284_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34346.0	8.5 Mbp	0.0	244-251	53.0	11.218191346881733	250.10382577301579	250	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444285_1	SRR6444285_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28713.0	7.2 Mbp	0.0	248-251	47.0	2.2254727823633895	250.99038762929683	251	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444285_2	SRR6444285_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28713.0	7.1 Mbp	0.0	246-251	48.0	8.665064604882804	250.21467627903738	250	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
