Sample	percent_duplicates	percent_gc	avg_sequence_length	median_sequence_length	percent_fails	total_sequences
SRR6444503_1	96.72918816955547	51.0	250.02840160871267	250	40.0	28097.0
SRR6444503_2	92.17354165925188	51.0	250.98366373634195	251	40.0	28097.0
SRR6444504_1	97.61884170774597	49.0	250.99633889705672	251	40.0	34689.0
SRR6444504_2	91.53045634062671	49.0	250.08694398800773	250	50.0	34689.0
SRR6444505_1	97.10102489019033	49.0	250.99381812266145	251	40.0	30735.0
SRR6444505_2	89.38669269562388	49.0	250.2896372214088	250	50.0	30735.0
SRR6444506_1	96.33345092159803	50.0	250.98857923979187	251	40.0	45356.0
SRR6444506_2	89.73454449245965	50.0	250.7617735250022	251	40.0	45356.0
SRR6444507_1	93.90799686676635	52.0	250.95784376557717	251	40.0	28086.0
SRR6444507_2	82.22602008117923	52.0	250.76928006836147	251	40.0	28086.0
SRR6444508_1	96.41601030366077	49.0	250.99150443354634	251	40.0	40374.0
SRR6444508_2	88.58176053896072	50.0	250.27770347253184	250	50.0	40374.0
SRR6444509_1	96.63948876156897	50.0	250.99245262230056	251	40.0	36304.0
SRR6444509_2	90.66218598501543	50.0	250.3423314235346	250	40.0	36304.0
SRR6444510_1	95.72229444263894	50.0	250.99406889827753	251	40.0	24616.0
SRR6444510_2	87.77218069548262	51.0	250.144783880403	250	50.0	24616.0
SRR6444511_1	95.79952724717306	52.0	249.89586660704018	250	40.0	31306.0
SRR6444511_2	91.49683766690092	53.0	250.9827828531272	251	40.0	31306.0
SRR6444512_1	97.11411172888536	50.0	250.99406936722266	251	40.0	37770.0
SRR6444512_2	91.01403230076781	51.0	250.27537728355838	250	50.0	37770.0
SRR6444513_1	96.4259898803309	51.0	250.9939362300217	251	40.0	24902.0
SRR6444513_2	90.70757368886034	52.0	250.41153321018393	250	40.0	24902.0
SRR6444514_1	96.1311364786594	53.0	250.06719901029072	250	40.0	17783.0
SRR6444514_2	90.96890288477759	53.0	250.98689759883035	251	50.0	17783.0
SRR6444515_1	97.39755540860513	49.0	250.9943044860172	251	40.0	46879.0
SRR6444515_2	89.09106422918578	50.0	250.2286098252949	250	50.0	46879.0
SRR6444516_1	95.83312774460947	51.0	250.99442443380866	251	40.0	40534.0
SRR6444516_2	88.6490353777076	52.0	250.71697833917204	251	50.0	40534.0
SRR6444517_1	96.79077554292721	52.0	250.9950953806975	251	40.0	42409.0
SRR6444517_2	91.27072083755806	53.0	250.13386309509775	250	50.0	42409.0
SRR6444518_1	95.63834272354451	50.0	250.99532405810433	251	40.0	26091.0
SRR6444518_2	88.45195661339159	51.0	250.090682610862	250	50.0	26091.0
SRR6444519_1	96.26576676255809	52.0	249.9847864571808	250	40.0	18076.0
SRR6444519_2	86.1252489488825	52.0	250.97687541491482	251	50.0	18076.0
SRR6444520_1	96.53262106148291	52.0	250.99352030469407	251	40.0	20217.0
SRR6444520_2	87.95568086264035	52.0	250.3430776079537	250	50.0	20217.0
SRR6444521_1	94.77333029014864	53.0	250.99109868477362	251	40.0	35051.0
SRR6444521_2	89.30415680009129	54.0	250.13292060140938	250	50.0	35051.0
SRR6444522_1	96.76869540515588	51.0	249.95813507563383	250	40.0	28162.0
SRR6444522_2	91.65187131595768	51.0	250.9859740075279	251	40.0	28162.0
SRR6444523_1	95.81866907752413	51.0	250.01633786445385	250	40.0	30971.0
SRR6444523_2	91.52755803816473	52.0	250.98653579154694	251	40.0	30971.0
SRR6444524_1	96.06282424845426	49.0	250.9943145476512	251	40.0	14071.0
SRR6444524_2	84.5426764266932	50.0	250.10980029848625	250	50.0	14071.0
SRR6444525_1	97.1242060691602	49.0	250.9927538058272	251	40.0	79352.0
SRR6444525_2	89.75325133582014	50.0	250.0890966831334	250	50.0	79352.0
SRR6444526_1	94.2569921369563	52.0	250.99547128496067	251	40.0	20094.0
SRR6444526_2	88.09097242958097	52.0	250.168508012342	250	50.0	20094.0
SRR6444527_1	97.69758327890268	49.0	249.92031352057478	250	40.0	24496.0
SRR6444527_2	92.74575440888309	50.0	250.98799804049642	251	40.0	24496.0
SRR6444528_1	96.8368013436596	50.0	249.9724736400112	250	40.0	21434.0
SRR6444528_2	92.94578706727629	50.0	250.9876831202762	251	40.0	21434.0
SRR6444529_1	97.88197845249755	49.0	250.99330721514855	251	40.0	49008.0
SRR6444529_2	92.75016323865492	49.0	250.2807092719556	250	50.0	49008.0
SRR6444530_1	95.84571154767609	52.0	249.9511739338764	250	40.0	20870.0
SRR6444530_2	89.46813608049833	53.0	250.9851461427887	251	40.0	20870.0
SRR6444531_1	96.82558139534883	51.0	250.0210465116279	250	40.0	34400.0
SRR6444531_2	93.10755813953489	51.0	250.98718023255813	251	40.0	34400.0
SRR6444532_1	97.22076743130478	49.0	250.98945567543032	251	40.0	28641.0
SRR6444532_2	91.34457595754338	49.0	250.09266436227784	250	50.0	28641.0
SRR6444533_1	95.73773835015805	51.0	249.90272254512084	250	40.0	19614.0
SRR6444533_2	90.1906801264403	52.0	250.98531661058428	251	40.0	19614.0
SRR6444534_1	95.92031492305857	50.0	250.99395602210822	251	40.0	25149.0
SRR6444534_2	86.83049027794345	51.0	250.15503598552627	250	50.0	25149.0
SRR6444535_1	96.96412626713588	50.0	250.02237512474395	250	40.0	19039.0
SRR6444535_2	90.9816692053154	51.0	250.98077630127634	251	40.0	19039.0
SRR6444536_1	96.6612343821821	50.0	250.01073920855794	250	40.0	23931.0
SRR6444536_2	92.65805858509883	51.0	250.9872132380594	251	40.0	23931.0
SRR6444537_1	94.49662752935299	52.0	250.9662503122658	251	40.0	40030.0
SRR6444537_2	87.8241319010742	53.0	250.11806145390958	250	50.0	40030.0
SRR6444538_1	95.47224555241658	52.0	250.99404443765746	251	40.0	26194.0
SRR6444538_2	90.49018859280751	53.0	250.78197297090938	251	50.0	26194.0
SRR6444539_1	97.84318595794005	48.0	250.98994038748137	251	40.0	24156.0
SRR6444539_2	92.55257492962411	48.0	250.80120880940552	251	40.0	24156.0
SRR6444540_1	96.97092680047226	48.0	250.99361717827628	251	40.0	27104.0
SRR6444540_2	88.35227272727273	48.0	250.76527449822905	251	50.0	27104.0
SRR6444541_1	95.93174927730381	51.0	249.93939928082915	250	40.0	28366.0
SRR6444541_2	92.65317633786928	51.0	250.9843827116971	251	40.0	28366.0
SRR6444542_1	97.8315004348914	50.0	250.98956260648882	251	40.0	83929.0
SRR6444542_2	91.57025581145969	50.0	250.10054927379093	250	50.0	83929.0
SRR6444543_1	97.39032219712281	50.0	250.99459041731066	251	40.0	33644.0
SRR6444543_2	91.22577576982523	50.0	250.26946855308523	250	50.0	33644.0
SRR6444544_1	96.55035310600753	51.0	250.9929568131473	251	40.0	52817.0
SRR6444544_2	89.03572713330935	51.0	250.13917867353314	250	50.0	52817.0
SRR6444545_1	95.69563780568407	50.0	249.99884335756775	250	40.0	12104.0
SRR6444545_2	89.83807005948447	51.0	250.98570720423	251	40.0	12104.0
SRR6444546_1	96.71732348816576	49.0	250.9921868292264	251	40.0	34941.0
SRR6444546_2	88.58933630977934	50.0	250.96302338227298	251	50.0	34941.0
SRR6444547_1	96.50559561486509	49.0	250.99226728441386	251	40.0	30649.0
SRR6444547_2	88.82182126659924	50.0	250.14734575353194	250	50.0	30649.0
SRR6444548_1	95.33683617939576	49.0	250.99390129480201	251	40.0	10658.0
SRR6444548_2	87.72752861700131	50.0	250.0946706699193	250	50.0	10658.0
SRR6444549_1	95.50710099783538	51.0	249.9082941766538	250	30.0	18941.0
SRR6444549_2	86.15173433292857	52.0	250.97597803706245	251	40.0	18941.0
SRR6444550_1	97.56455758169135	50.0	249.93648268265818	250	40.0	32684.0
SRR6444550_2	93.97258597478888	50.0	250.9886794761963	251	40.0	32684.0
SRR6444551_1	97.11215345841501	51.0	249.98554326519184	250	40.0	28568.0
SRR6444551_2	92.69112293475217	51.0	250.98662839540745	251	40.0	28568.0
SRR6444552_1	97.25751970403732	49.0	249.99573749396816	250	40.0	24868.0
SRR6444552_2	88.91346308508928	50.0	250.09011581148465	250	50.0	24868.0
SRR6444553_1	94.16599985451371	52.0	250.9940350621954	251	40.0	13747.0
SRR6444553_2	83.59642103731724	52.0	250.11122426711282	250	50.0	13747.0
SRR6444554_1	97.05724100823642	49.0	250.99346053557386	251	40.0	24161.0
SRR6444554_2	90.2487479822855	49.0	250.06870576548985	250	50.0	24161.0
SRR6444555_1	93.58727097396336	51.0	250.99292831886854	251	40.0	6222.0
SRR6444555_2	83.076181292189	51.0	250.31147540983608	250	50.0	6222.0
SRR6444556_1	95.95344535224295	52.0	249.9488207183598	250	40.0	12974.0
SRR6444556_2	91.7064899028827	52.0	250.9923693540928	251	40.0	12974.0
SRR6444557_1	96.53892714679792	51.0	250.98902538252398	251	40.0	50389.0
SRR6444557_2	91.15680009525889	52.0	250.79515370418147	251	40.0	50389.0
